Site,Transect,Quadrat,CPCE Point,Substrate,GF,Scar
Aow Leuk,AL1,1,1,UK,NA,NA
Aow Leuk,AL1,1,2,HC,SUB,NA
Aow Leuk,AL1,1,3,HC,SUB,NA
Aow Leuk,AL1,1,4,HC,SUB,NA
Aow Leuk,AL1,1,5,UK,NA,NA
Aow Leuk,AL1,1,6,TUR,NA,NA
Aow Leuk,AL1,1,7,HC,SUB,NA
Aow Leuk,AL1,1,8,HC,SUB,NA
Aow Leuk,AL1,1,9,HC,SUB,NA
Aow Leuk,AL1,1,10,HC,SUB,NA
Aow Leuk,AL1,1,11,HC,SUB,NA
Aow Leuk,AL1,1,12,HC,SUB,NA
Aow Leuk,AL1,1,13,TUR,NA,NA
Aow Leuk,AL1,1,14,TUR,NA,NA
Aow Leuk,AL1,1,15,TUR,NA,NA
Aow Leuk,AL1,1,16,HC,SUB,NA
Aow Leuk,AL1,1,17,HC,SUB,NA
Aow Leuk,AL1,1,18,AB,NA,NA
Aow Leuk,AL1,1,19,TUR,NA,NA
Aow Leuk,AL1,1,20,TUR,NA,NA
Aow Leuk,AL1,1,21,HC,SUB,NA
Aow Leuk,AL1,1,22,AB,NA,NA
Aow Leuk,AL1,1,23,HC,SUB,NA
Aow Leuk,AL1,1,24,TUR,NA,NA
Aow Leuk,AL1,1,25,HC,SUB,NA
Aow Leuk,AL1,2,1,TUR,NA,NA
Aow Leuk,AL1,2,2,AB,NA,NA
Aow Leuk,AL1,2,3,TUR,NA,NA
Aow Leuk,AL1,2,4,AB,NA,NA
Aow Leuk,AL1,2,5,TUR,NA,NA
Aow Leuk,AL1,2,6,TUR,NA,NA
Aow Leuk,AL1,2,7,TUR,NA,NA
Aow Leuk,AL1,2,8,TUR,NA,NA
Aow Leuk,AL1,2,9,TUR,NA,NA
Aow Leuk,AL1,2,10,TUR,NA,NA
Aow Leuk,AL1,2,11,HC,ARB,NA
Aow Leuk,AL1,2,12,AB,NA,NA
Aow Leuk,AL1,2,13,TUR,NA,NA
Aow Leuk,AL1,2,14,AB,NA,NA
Aow Leuk,AL1,2,15,HC,ARB,NA
Aow Leuk,AL1,2,16,TUR,NA,NA
Aow Leuk,AL1,2,17,TUR,NA,NA
Aow Leuk,AL1,2,18,TUR,NA,NA
Aow Leuk,AL1,2,19,TUR,NA,NA
Aow Leuk,AL1,2,20,TUR,NA,NA
Aow Leuk,AL1,2,21,TUR,NA,NA
Aow Leuk,AL1,2,22,TUR,NA,NA
Aow Leuk,AL1,2,23,TUR,NA,NA
Aow Leuk,AL1,2,24,TUR,NA,NA
Aow Leuk,AL1,2,25,TUR,NA,NA
Aow Leuk,AL1,3,1,TUR,NA,NA
Aow Leuk,AL1,3,2,TUR,NA,NA
Aow Leuk,AL1,3,3,AB,NA,NA
Aow Leuk,AL1,3,4,TUR,NA,NA
Aow Leuk,AL1,3,5,AB,NA,NA
Aow Leuk,AL1,3,6,TUR,NA,NA
Aow Leuk,AL1,3,7,AB,NA,NA
Aow Leuk,AL1,3,8,AB,NA,NA
Aow Leuk,AL1,3,9,TUR,NA,NA
Aow Leuk,AL1,3,10,AB,NA,NA
Aow Leuk,AL1,3,11,AB,NA,NA
Aow Leuk,AL1,3,12,TUR,NA,NA
Aow Leuk,AL1,3,13,AB,NA,NA
Aow Leuk,AL1,3,14,AB,NA,NA
Aow Leuk,AL1,3,15,TUR,NA,NA
Aow Leuk,AL1,3,16,TUR,NA,NA
Aow Leuk,AL1,3,17,TUR,NA,NA
Aow Leuk,AL1,3,18,TUR,NA,NA
Aow Leuk,AL1,3,19,TUR,NA,NA
Aow Leuk,AL1,3,20,AB,NA,NA
Aow Leuk,AL1,3,21,TUR,NA,NA
Aow Leuk,AL1,3,22,TUR,NA,NA
Aow Leuk,AL1,3,23,TUR,NA,NA
Aow Leuk,AL1,3,24,TUR,NA,NA
Aow Leuk,AL1,3,25,TUR,NA,NA
Aow Leuk,AL1,4,1,TUR,NA,NA
Aow Leuk,AL1,4,2,AB,NA,NA
Aow Leuk,AL1,4,3,TUR,NA,NA
Aow Leuk,AL1,4,4,TUR,NA,NA
Aow Leuk,AL1,4,5,TUR,NA,NA
Aow Leuk,AL1,4,6,TUR,NA,NA
Aow Leuk,AL1,4,7,TUR,NA,NA
Aow Leuk,AL1,4,8,AB,NA,NA
Aow Leuk,AL1,4,9,TUR,NA,NA
Aow Leuk,AL1,4,10,TUR,NA,NA
Aow Leuk,AL1,4,11,TUR,NA,NA
Aow Leuk,AL1,4,12,TUR,NA,NA
Aow Leuk,AL1,4,13,AB,NA,NA
Aow Leuk,AL1,4,14,TUR,NA,NA
Aow Leuk,AL1,4,15,AB,NA,NA
Aow Leuk,AL1,4,16,TUR,NA,NA
Aow Leuk,AL1,4,17,AB,NA,NA
Aow Leuk,AL1,4,18,TUR,NA,NA
Aow Leuk,AL1,4,19,TUR,NA,NA
Aow Leuk,AL1,4,20,TUR,NA,NA
Aow Leuk,AL1,4,21,TUR,NA,NA
Aow Leuk,AL1,4,22,TUR,NA,NA
Aow Leuk,AL1,4,23,TUR,NA,NA
Aow Leuk,AL1,4,24,AB,NA,NA
Aow Leuk,AL1,4,25,TUR,NA,NA
Aow Leuk,AL1,5,1,HC,SUB,NA
Aow Leuk,AL1,5,2,HC,ARB,NA
Aow Leuk,AL1,5,3,HC,SUB,NA
Aow Leuk,AL1,5,4,HC,SUB,NA
Aow Leuk,AL1,5,5,AB,NA,NA
Aow Leuk,AL1,5,6,HC,SUB,NA
Aow Leuk,AL1,5,7,HC,ARB,NA
Aow Leuk,AL1,5,8,AB,NA,NA
Aow Leuk,AL1,5,9,TUR,NA,NA
Aow Leuk,AL1,5,10,TUR,NA,NA
Aow Leuk,AL1,5,11,HC,ARB,NA
Aow Leuk,AL1,5,12,TUR,NA,NA
Aow Leuk,AL1,5,13,HC,SUB,NA
Aow Leuk,AL1,5,14,HC,MAS,NA
Aow Leuk,AL1,5,15,HC,ARB,NA
Aow Leuk,AL1,5,16,HC,SUB,NA
Aow Leuk,AL1,5,17,HC,ARB,NA
Aow Leuk,AL1,5,18,HC,FOL,NA
Aow Leuk,AL1,5,19,HC,SUB,NA
Aow Leuk,AL1,5,20,UK,NA,NA
Aow Leuk,AL1,5,21,HC,SUB,NA
Aow Leuk,AL1,5,22,TUR,NA,NA
Aow Leuk,AL1,5,23,HC,ARB,NA
Aow Leuk,AL1,5,24,HC,ARB,NA
Aow Leuk,AL1,5,25,TUR,NA,NA
Aow Leuk,AL1,6,1,HC,ARB,NA
Aow Leuk,AL1,6,2,TUR,NA,NA
Aow Leuk,AL1,6,3,TUR,NA,NA
Aow Leuk,AL1,6,4,UK,NA,NA
Aow Leuk,AL1,6,5,HC,ARB,NA
Aow Leuk,AL1,6,6,TUR,NA,NA
Aow Leuk,AL1,6,7,HC,ARB,NA
Aow Leuk,AL1,6,8,HC,ARB,NA
Aow Leuk,AL1,6,9,HC,ARB,NA
Aow Leuk,AL1,6,10,TUR,NA,NA
Aow Leuk,AL1,6,11,HC,SUB,NA
Aow Leuk,AL1,6,12,HC,ARB,NA
Aow Leuk,AL1,6,13,HC,ARB,NA
Aow Leuk,AL1,6,14,HC,SUB,NA
Aow Leuk,AL1,6,15,HC,ARB,NA
Aow Leuk,AL1,6,16,HC,ARB,NA
Aow Leuk,AL1,6,17,HC,ARB,NA
Aow Leuk,AL1,6,18,HC,ARB,NA
Aow Leuk,AL1,6,19,HC,ARB,NA
Aow Leuk,AL1,6,20,TUR,NA,NA
Aow Leuk,AL1,6,21,HC,ARB,NA
Aow Leuk,AL1,6,22,HC,ARB,NA
Aow Leuk,AL1,6,23,TUR,NA,NA
Aow Leuk,AL1,6,24,HC,ARB,NA
Aow Leuk,AL1,6,25,HC,ARB,NA
Aow Leuk,AL1,7,1,TUR,NA,NA
Aow Leuk,AL1,7,2,HC,ARB,NA
Aow Leuk,AL1,7,3,TUR,NA,NA
Aow Leuk,AL1,7,4,TUR,NA,NA
Aow Leuk,AL1,7,5,TUR,NA,NA
Aow Leuk,AL1,7,6,HC,ARB,NA
Aow Leuk,AL1,7,7,TUR,NA,NA
Aow Leuk,AL1,7,8,TUR,NA,NA
Aow Leuk,AL1,7,9,TUR,NA,NA
Aow Leuk,AL1,7,10,HC,ARB,NA
Aow Leuk,AL1,7,11,TUR,NA,NA
Aow Leuk,AL1,7,12,TUR,NA,NA
Aow Leuk,AL1,7,13,HC,SUB,NA
Aow Leuk,AL1,7,14,TUR,NA,NA
Aow Leuk,AL1,7,15,TUR,NA,NA
Aow Leuk,AL1,7,16,TUR,NA,NA
Aow Leuk,AL1,7,17,TUR,NA,NA
Aow Leuk,AL1,7,18,TUR,NA,NA
Aow Leuk,AL1,7,19,TUR,NA,NA
Aow Leuk,AL1,7,20,TUR,NA,NA
Aow Leuk,AL1,7,21,TUR,NA,NA
Aow Leuk,AL1,7,22,TUR,NA,NA
Aow Leuk,AL1,7,23,TUR,NA,NA
Aow Leuk,AL1,7,24,TUR,NA,NA
Aow Leuk,AL1,7,25,TUR,NA,NA
Aow Leuk,AL1,8,1,TUR,NA,NA
Aow Leuk,AL1,8,2,TUR,NA,NA
Aow Leuk,AL1,8,3,TUR,NA,NA
Aow Leuk,AL1,8,4,TUR,NA,NA
Aow Leuk,AL1,8,5,TUR,NA,NA
Aow Leuk,AL1,8,6,TUR,NA,NA
Aow Leuk,AL1,8,7,TUR,NA,NA
Aow Leuk,AL1,8,8,TUR,NA,NA
Aow Leuk,AL1,8,9,TUR,NA,NA
Aow Leuk,AL1,8,10,TUR,NA,NA
Aow Leuk,AL1,8,11,HC,ARB,NA
Aow Leuk,AL1,8,12,HC,ARB,NA
Aow Leuk,AL1,8,13,TUR,NA,NA
Aow Leuk,AL1,8,14,TUR,NA,NA
Aow Leuk,AL1,8,15,HC,ARB,NA
Aow Leuk,AL1,8,16,TUR,NA,NA
Aow Leuk,AL1,8,17,TUR,NA,NA
Aow Leuk,AL1,8,18,TUR,NA,NA
Aow Leuk,AL1,8,19,TUR,NA,NA
Aow Leuk,AL1,8,20,TUR,NA,NA
Aow Leuk,AL1,8,21,TUR,NA,NA
Aow Leuk,AL1,8,22,TUR,NA,NA
Aow Leuk,AL1,8,23,TUR,NA,NA
Aow Leuk,AL1,8,24,TUR,NA,NA
Aow Leuk,AL1,8,25,HC,ARB,NA
Aow Leuk,AL1,9,1,TUR,NA,NA
Aow Leuk,AL1,9,2,TUR,NA,NA
Aow Leuk,AL1,9,3,TUR,NA,NA
Aow Leuk,AL1,9,4,HC,SUB,NA
Aow Leuk,AL1,9,5,TUR,NA,NA
Aow Leuk,AL1,9,6,TUR,NA,NA
Aow Leuk,AL1,9,7,TUR,NA,NA
Aow Leuk,AL1,9,8,TUR,NA,NA
Aow Leuk,AL1,9,9,HC,ARB,NA
Aow Leuk,AL1,9,10,HC,ARB,NA
Aow Leuk,AL1,9,11,TUR,NA,NA
Aow Leuk,AL1,9,12,HC,SUB,NA
Aow Leuk,AL1,9,13,TUR,NA,NA
Aow Leuk,AL1,9,14,TUR,NA,NA
Aow Leuk,AL1,9,15,TUR,NA,NA
Aow Leuk,AL1,9,16,TUR,NA,NA
Aow Leuk,AL1,9,17,TUR,NA,NA
Aow Leuk,AL1,9,18,OB,NA,NA
Aow Leuk,AL1,9,19,TUR,NA,NA
Aow Leuk,AL1,9,20,TUR,NA,NA
Aow Leuk,AL1,9,21,OB,NA,NA
Aow Leuk,AL1,9,22,TUR,NA,NA
Aow Leuk,AL1,9,23,TUR,NA,NA
Aow Leuk,AL1,9,24,TUR,NA,NA
Aow Leuk,AL1,9,25,TUR,NA,NA
Aow Leuk,AL1,10,1,TUR,NA,NA
Aow Leuk,AL1,10,2,TUR,NA,NA
Aow Leuk,AL1,10,3,TUR,NA,NA
Aow Leuk,AL1,10,4,TUR,NA,NA
Aow Leuk,AL1,10,5,TUR,NA,NA
Aow Leuk,AL1,10,6,TUR,NA,NA
Aow Leuk,AL1,10,7,TUR,NA,NA
Aow Leuk,AL1,10,8,TUR,NA,NA
Aow Leuk,AL1,10,9,TUR,NA,NA
Aow Leuk,AL1,10,10,TUR,NA,NA
Aow Leuk,AL1,10,11,TUR,NA,NA
Aow Leuk,AL1,10,12,TUR,NA,NA
Aow Leuk,AL1,10,13,TUR,NA,NA
Aow Leuk,AL1,10,14,TUR,NA,NA
Aow Leuk,AL1,10,15,TUR,NA,NA
Aow Leuk,AL1,10,16,TUR,NA,NA
Aow Leuk,AL1,10,17,TUR,NA,NA
Aow Leuk,AL1,10,18,TUR,NA,NA
Aow Leuk,AL1,10,19,TUR,NA,NA
Aow Leuk,AL1,10,20,TUR,NA,NA
Aow Leuk,AL1,10,21,TUR,NA,NA
Aow Leuk,AL1,10,22,TUR,NA,NA
Aow Leuk,AL1,10,23,TUR,NA,NA
Aow Leuk,AL1,10,24,TUR,NA,NA
Aow Leuk,AL1,10,25,TUR,NA,NA
Aow Leuk,AL1,11,1,TUR,NA,NA
Aow Leuk,AL1,11,2,TUR,NA,NA
Aow Leuk,AL1,11,3,AB,NA,NA
Aow Leuk,AL1,11,4,HC,SUB,NA
Aow Leuk,AL1,11,5,TUR,NA,NA
Aow Leuk,AL1,11,6,HC,ARB,NA
Aow Leuk,AL1,11,7,TUR,NA,NA
Aow Leuk,AL1,11,8,HC,SUB,NA
Aow Leuk,AL1,11,9,TUR,NA,NA
Aow Leuk,AL1,11,10,HC,LAM,NA
Aow Leuk,AL1,11,11,TUR,NA,NA
Aow Leuk,AL1,11,12,TUR,NA,NA
Aow Leuk,AL1,11,13,TUR,NA,NA
Aow Leuk,AL1,11,14,HC,SUB,NA
Aow Leuk,AL1,11,15,HC,ARB,NA
Aow Leuk,AL1,11,16,TUR,NA,NA
Aow Leuk,AL1,11,17,TUR,NA,NA
Aow Leuk,AL1,11,18,TUR,NA,NA
Aow Leuk,AL1,11,19,TUR,NA,NA
Aow Leuk,AL1,11,20,AB,NA,NA
Aow Leuk,AL1,11,21,TUR,NA,NA
Aow Leuk,AL1,11,22,TUR,NA,NA
Aow Leuk,AL1,11,23,TUR,NA,NA
Aow Leuk,AL1,11,24,AB,NA,NA
Aow Leuk,AL1,11,25,TUR,NA,NA
Aow Leuk,AL1,12,1,TUR,NA,NA
Aow Leuk,AL1,12,2,TUR,NA,NA
Aow Leuk,AL1,12,3,TUR,NA,NA
Aow Leuk,AL1,12,4,AB,NA,NA
Aow Leuk,AL1,12,5,HC,CAE,NA
Aow Leuk,AL1,12,6,TUR,NA,NA
Aow Leuk,AL1,12,7,TUR,NA,NA
Aow Leuk,AL1,12,8,TUR,NA,NA
Aow Leuk,AL1,12,9,TUR,NA,NA
Aow Leuk,AL1,12,10,TUR,NA,NA
Aow Leuk,AL1,12,11,TUR,NA,NA
Aow Leuk,AL1,12,12,TUR,NA,NA
Aow Leuk,AL1,12,13,TUR,NA,NA
Aow Leuk,AL1,12,14,TUR,NA,NA
Aow Leuk,AL1,12,15,HC,ARB,NA
Aow Leuk,AL1,12,16,TUR,NA,NA
Aow Leuk,AL1,12,17,AB,NA,NA
Aow Leuk,AL1,12,18,AB,NA,NA
Aow Leuk,AL1,12,19,AB,NA,NA
Aow Leuk,AL1,12,20,TUR,NA,NA
Aow Leuk,AL1,12,21,UK,NA,NA
Aow Leuk,AL1,12,22,TUR,NA,NA
Aow Leuk,AL1,12,23,TUR,NA,NA
Aow Leuk,AL1,12,24,AB,NA,NA
Aow Leuk,AL1,12,25,TUR,NA,NA
Aow Leuk,AL1,13,1,AB,NA,NA
Aow Leuk,AL1,13,2,HC,MAS,NA
Aow Leuk,AL1,13,3,HC,MAS,NA
Aow Leuk,AL1,13,4,TUR,NA,NA
Aow Leuk,AL1,13,5,HC,MAS,NA
Aow Leuk,AL1,13,6,UK,NA,NA
Aow Leuk,AL1,13,7,TUR,NA,NA
Aow Leuk,AL1,13,8,TUR,NA,NA
Aow Leuk,AL1,13,9,HC,MAS,NA
Aow Leuk,AL1,13,10,TUR,NA,NA
Aow Leuk,AL1,13,11,HC,MAS,NA
Aow Leuk,AL1,13,12,TUR,NA,NA
Aow Leuk,AL1,13,13,HC,MAS,NA
Aow Leuk,AL1,13,14,HC,MAS,NA
Aow Leuk,AL1,13,15,TUR,NA,NA
Aow Leuk,AL1,13,16,TUR,NA,NA
Aow Leuk,AL1,13,17,TUR,NA,NA
Aow Leuk,AL1,13,18,HC,ENC,NA
Aow Leuk,AL1,13,19,TUR,NA,NA
Aow Leuk,AL1,13,20,TUR,NA,NA
Aow Leuk,AL1,13,21,HC,MAS,NA
Aow Leuk,AL1,13,22,MAC,NA,NA
Aow Leuk,AL1,13,23,HC,MAS,NA
Aow Leuk,AL1,13,24,HC,MAS,NA
Aow Leuk,AL1,13,25,HC,MAS,NA
Aow Leuk,AL1,14,1,TUR,NA,NA
Aow Leuk,AL1,14,2,HC,ARB,NA
Aow Leuk,AL1,14,3,HC,ARB,NA
Aow Leuk,AL1,14,4,TUR,NA,NA
Aow Leuk,AL1,14,5,HC,ARB,NA
Aow Leuk,AL1,14,6,HC,ARB,NA
Aow Leuk,AL1,14,7,TUR,NA,NA
Aow Leuk,AL1,14,8,TUR,NA,NA
Aow Leuk,AL1,14,9,AB,NA,NA
Aow Leuk,AL1,14,10,TUR,NA,NA
Aow Leuk,AL1,14,11,TUR,NA,NA
Aow Leuk,AL1,14,12,HC,ARB,NA
Aow Leuk,AL1,14,13,TUR,NA,NA
Aow Leuk,AL1,14,14,HC,ARB,NA
Aow Leuk,AL1,14,15,TUR,NA,NA
Aow Leuk,AL1,14,16,TUR,NA,NA
Aow Leuk,AL1,14,17,TUR,NA,NA
Aow Leuk,AL1,14,18,TUR,NA,NA
Aow Leuk,AL1,14,19,TUR,NA,NA
Aow Leuk,AL1,14,20,TUR,NA,NA
Aow Leuk,AL1,14,21,TUR,NA,NA
Aow Leuk,AL1,14,22,HC,ARB,NA
Aow Leuk,AL1,14,23,HC,ARB,NA
Aow Leuk,AL1,14,24,TUR,NA,NA
Aow Leuk,AL1,14,25,TUR,NA,NA
Aow Leuk,AL1,15,1,TUR,NA,NA
Aow Leuk,AL1,15,2,TUR,NA,NA
Aow Leuk,AL1,15,3,TUR,NA,NA
Aow Leuk,AL1,15,4,TUR,NA,NA
Aow Leuk,AL1,15,5,TUR,NA,NA
Aow Leuk,AL1,15,6,TUR,NA,NA
Aow Leuk,AL1,15,7,TUR,NA,NA
Aow Leuk,AL1,15,8,HC,MAS,NA
Aow Leuk,AL1,15,9,HC,ARB,NA
Aow Leuk,AL1,15,10,TUR,NA,NA
Aow Leuk,AL1,15,11,HC,MAS,NA
Aow Leuk,AL1,15,12,TUR,NA,NA
Aow Leuk,AL1,15,13,TUR,NA,NA
Aow Leuk,AL1,15,14,TUR,NA,NA
Aow Leuk,AL1,15,15,TUR,NA,NA
Aow Leuk,AL1,15,16,HC,MAS,NA
Aow Leuk,AL1,15,17,TUR,NA,NA
Aow Leuk,AL1,15,18,TUR,NA,NA
Aow Leuk,AL1,15,19,TUR,NA,NA
Aow Leuk,AL1,15,20,HC,MAS,NA
Aow Leuk,AL1,15,21,TUR,NA,NA
Aow Leuk,AL1,15,22,TUR,NA,NA
Aow Leuk,AL1,15,23,TUR,NA,NA
Aow Leuk,AL1,15,24,HC,ARB,NA
Aow Leuk,AL1,15,25,HC,MAS,NA
Aow Leuk,AL1,16,1,HC,ARB,NA
Aow Leuk,AL1,16,2,HC,ARB,NA
Aow Leuk,AL1,16,3,TUR,NA,NA
Aow Leuk,AL1,16,4,TUR,NA,NA
Aow Leuk,AL1,16,5,TUR,NA,NA
Aow Leuk,AL1,16,6,TUR,NA,NA
Aow Leuk,AL1,16,7,TUR,NA,NA
Aow Leuk,AL1,16,8,TUR,NA,NA
Aow Leuk,AL1,16,9,HC,ARB,NA
Aow Leuk,AL1,16,10,HC,ARB,NA
Aow Leuk,AL1,16,11,TUR,NA,NA
Aow Leuk,AL1,16,12,TUR,NA,NA
Aow Leuk,AL1,16,13,TUR,NA,NA
Aow Leuk,AL1,16,14,HC,ARB,NA
Aow Leuk,AL1,16,15,TUR,NA,NA
Aow Leuk,AL1,16,16,HC,ARB,NA
Aow Leuk,AL1,16,17,TUR,NA,NA
Aow Leuk,AL1,16,18,TUR,NA,NA
Aow Leuk,AL1,16,19,TUR,NA,NA
Aow Leuk,AL1,16,20,TUR,NA,NA
Aow Leuk,AL1,16,21,TUR,NA,NA
Aow Leuk,AL1,16,22,TUR,NA,NA
Aow Leuk,AL1,16,23,TUR,NA,NA
Aow Leuk,AL1,16,24,TUR,NA,NA
Aow Leuk,AL1,16,25,TUR,NA,NA
Aow Leuk,AL1,17,1,TUR,NA,NA
Aow Leuk,AL1,17,2,TUR,NA,NA
Aow Leuk,AL1,17,3,TUR,NA,NA
Aow Leuk,AL1,17,4,TUR,NA,NA
Aow Leuk,AL1,17,5,TUR,NA,NA
Aow Leuk,AL1,17,6,MAC,NA,NA
Aow Leuk,AL1,17,7,HC,ARB,NA
Aow Leuk,AL1,17,8,TUR,NA,NA
Aow Leuk,AL1,17,9,TUR,NA,NA
Aow Leuk,AL1,17,10,TUR,NA,NA
Aow Leuk,AL1,17,11,MAC,NA,NA
Aow Leuk,AL1,17,12,TUR,NA,NA
Aow Leuk,AL1,17,13,MAC,NA,NA
Aow Leuk,AL1,17,14,HC,ARB,NA
Aow Leuk,AL1,17,15,TUR,NA,NA
Aow Leuk,AL1,17,16,TUR,NA,NA
Aow Leuk,AL1,17,17,TUR,NA,NA
Aow Leuk,AL1,17,18,TUR,NA,NA
Aow Leuk,AL1,17,19,HC,ARB,NA
Aow Leuk,AL1,17,20,TUR,NA,NA
Aow Leuk,AL1,17,21,HC,ARB,NA
Aow Leuk,AL1,17,22,TUR,NA,NA
Aow Leuk,AL1,17,23,TUR,NA,NA
Aow Leuk,AL1,17,24,TUR,NA,NA
Aow Leuk,AL1,17,25,TUR,NA,NA
Aow Leuk,AL1,18,1,OB,NA,NA
Aow Leuk,AL1,18,2,TUR,NA,NA
Aow Leuk,AL1,18,3,TUR,NA,NA
Aow Leuk,AL1,18,4,TUR,NA,NA
Aow Leuk,AL1,18,5,TUR,NA,NA
Aow Leuk,AL1,18,6,TUR,NA,NA
Aow Leuk,AL1,18,7,TUR,NA,NA
Aow Leuk,AL1,18,8,TUR,NA,NA
Aow Leuk,AL1,18,9,TUR,NA,NA
Aow Leuk,AL1,18,10,HC,SUB,NA
Aow Leuk,AL1,18,11,TUR,NA,NA
Aow Leuk,AL1,18,12,TUR,NA,NA
Aow Leuk,AL1,18,13,TUR,NA,NA
Aow Leuk,AL1,18,14,TUR,NA,NA
Aow Leuk,AL1,18,15,TUR,NA,NA
Aow Leuk,AL1,18,16,TUR,NA,NA
Aow Leuk,AL1,18,17,TUR,NA,NA
Aow Leuk,AL1,18,18,TUR,NA,NA
Aow Leuk,AL1,18,19,TUR,NA,NA
Aow Leuk,AL1,18,20,TUR,NA,NA
Aow Leuk,AL1,18,21,TUR,NA,NA
Aow Leuk,AL1,18,22,TUR,NA,NA
Aow Leuk,AL1,18,23,TUR,NA,NA
Aow Leuk,AL1,18,24,TUR,NA,NA
Aow Leuk,AL1,18,25,HC,SUB,NA
Aow Leuk,AL1,19,1,MAC,NA,NA
Aow Leuk,AL1,19,2,HC,ARB,NA
Aow Leuk,AL1,19,3,TUR,NA,NA
Aow Leuk,AL1,19,4,TUR,NA,NA
Aow Leuk,AL1,19,5,TUR,NA,NA
Aow Leuk,AL1,19,6,TUR,NA,NA
Aow Leuk,AL1,19,7,HC,ENC,NA
Aow Leuk,AL1,19,8,HC,ENC,NA
Aow Leuk,AL1,19,9,TUR,NA,NA
Aow Leuk,AL1,19,10,MAC,NA,NA
Aow Leuk,AL1,19,11,TUR,NA,NA
Aow Leuk,AL1,19,12,TUR,NA,NA
Aow Leuk,AL1,19,13,TUR,NA,NA
Aow Leuk,AL1,19,14,TUR,NA,NA
Aow Leuk,AL1,19,15,MAC,NA,NA
Aow Leuk,AL1,19,16,MAC,NA,NA
Aow Leuk,AL1,19,17,TUR,NA,NA
Aow Leuk,AL1,19,18,TUR,NA,NA
Aow Leuk,AL1,19,19,TUR,NA,NA
Aow Leuk,AL1,19,20,TUR,NA,NA
Aow Leuk,AL1,19,21,UK,NA,NA
Aow Leuk,AL1,19,22,TUR,NA,NA
Aow Leuk,AL1,19,23,HC,ENC,NA
Aow Leuk,AL1,19,24,TUR,NA,NA
Aow Leuk,AL1,19,25,TUR,NA,NA
Aow Leuk,AL1,20,1,TUR,NA,NA
Aow Leuk,AL1,20,2,TUR,NA,NA
Aow Leuk,AL1,20,3,TUR,NA,NA
Aow Leuk,AL1,20,4,TUR,NA,NA
Aow Leuk,AL1,20,5,TUR,NA,NA
Aow Leuk,AL1,20,6,TUR,NA,NA
Aow Leuk,AL1,20,7,TUR,NA,NA
Aow Leuk,AL1,20,8,MAC,NA,NA
Aow Leuk,AL1,20,9,TUR,NA,NA
Aow Leuk,AL1,20,10,OB,NA,NA
Aow Leuk,AL1,20,11,TUR,NA,NA
Aow Leuk,AL1,20,12,TUR,NA,NA
Aow Leuk,AL1,20,13,TUR,NA,NA
Aow Leuk,AL1,20,14,TUR,NA,NA
Aow Leuk,AL1,20,15,TUR,NA,NA
Aow Leuk,AL1,20,16,TUR,NA,NA
Aow Leuk,AL1,20,17,TUR,NA,NA
Aow Leuk,AL1,20,18,TUR,NA,NA
Aow Leuk,AL1,20,19,TUR,NA,NA
Aow Leuk,AL1,20,20,TUR,NA,NA
Aow Leuk,AL1,20,21,TUR,NA,NA
Aow Leuk,AL1,20,22,TUR,NA,NA
Aow Leuk,AL1,20,23,TUR,NA,NA
Aow Leuk,AL1,20,24,MAC,NA,NA
Aow Leuk,AL1,20,25,MAC,NA,NA
Aow Leuk,AL1,21,1,TUR,NA,NA
Aow Leuk,AL1,21,2,HC,SUB,NA
Aow Leuk,AL1,21,3,HC,SUB,NA
Aow Leuk,AL1,21,4,AB,NA,NA
Aow Leuk,AL1,21,5,AB,NA,NA
Aow Leuk,AL1,21,6,HC,SUB,NA
Aow Leuk,AL1,21,7,TUR,NA,NA
Aow Leuk,AL1,21,8,HC,ARB,NA
Aow Leuk,AL1,21,9,AB,NA,NA
Aow Leuk,AL1,21,10,HC,ARB,NA
Aow Leuk,AL1,21,11,HC,ARB,NA
Aow Leuk,AL1,21,12,TUR,NA,NA
Aow Leuk,AL1,21,13,AB,NA,NA
Aow Leuk,AL1,21,14,HC,SUB,NA
Aow Leuk,AL1,21,15,TUR,NA,NA
Aow Leuk,AL1,21,16,TUR,NA,NA
Aow Leuk,AL1,21,17,AB,NA,NA
Aow Leuk,AL1,21,18,AB,NA,NA
Aow Leuk,AL1,21,19,AB,NA,NA
Aow Leuk,AL1,21,20,AB,NA,NA
Aow Leuk,AL1,21,21,HC,SUB,NA
Aow Leuk,AL1,21,22,HC,SUB,NA
Aow Leuk,AL1,21,23,HC,SUB,NA
Aow Leuk,AL1,21,24,HC,SUB,NA
Aow Leuk,AL1,21,25,AB,NA,NA
Aow Leuk,AL1,22,1,TUR,NA,NA
Aow Leuk,AL1,22,2,TUR,NA,NA
Aow Leuk,AL1,22,3,TUR,NA,NA
Aow Leuk,AL1,22,4,HC,FOL,NA
Aow Leuk,AL1,22,5,MAC,NA,NA
Aow Leuk,AL1,22,6,TUR,NA,NA
Aow Leuk,AL1,22,7,TUR,NA,NA
Aow Leuk,AL1,22,8,HC,ENC,NA
Aow Leuk,AL1,22,9,TUR,NA,NA
Aow Leuk,AL1,22,10,TUR,NA,NA
Aow Leuk,AL1,22,11,TUR,NA,NA
Aow Leuk,AL1,22,12,TUR,NA,NA
Aow Leuk,AL1,22,13,TUR,NA,NA
Aow Leuk,AL1,22,14,MAC,NA,NA
