"Effect","Estimate","SE","CI","p_value"
"(Intercept)",3.1,0.0752,"[2.95, 3.24]","<0.001"
"familyRabbitfish",-0.26,0.108,"[-0.472, -0.0478]","0.016"
"familyButterflyfish",-1.32,0.109,"[-1.53, -1.1]","<0.001"
"cots_mean_ha_sc",-0.0324,0.181,"[-0.387, 0.322]","0.858"
"HC_sc",-0.0913,0.0879,"[-0.264, 0.0809]","0.299"
"MAC_sc",-0.116,0.0908,"[-0.294, 0.0618]","0.201"
"TUR_sc",0.0212,0.114,"[-0.202, 0.244]","0.852"
