"Effect","Estimate","SE","CI","p_value"
"(Intercept)",3.12,0.0671,"[2.99, 3.25]","<0.001"
"familyRabbitfish",-0.374,0.0968,"[-0.563, -0.184]","<0.001"
"familyButterflyfish",-1.31,0.0969,"[-1.5, -1.12]","<0.001"
"cots_mean_ha_sc",0.201,0.0946,"[0.0157, 0.387]","0.033"
"HC_sc",0.00982,0.0623,"[-0.112, 0.132]","0.875"
"MAC_sc",-0.208,0.0762,"[-0.358, -0.0589]","0.006"
"TUR_sc",-0.104,0.0803,"[-0.262, 0.0529]","0.193"
