"Effect","Estimate","SE","CI","p_value"
"(Intercept)",5.19,0.112,"[4.97, 5.41]","<0.001"
"familyRabbitfish",0.439,0.0881,"[0.266, 0.611]","<0.001"
"familyButterflyfish",0.401,0.0892,"[0.226, 0.575]","<0.001"
"cots_15_meanAbove_15",0.518,0.163,"[0.198, 0.838]","0.002"
"familyRabbitfish:cots_15_meanAbove_15",-0.62,0.137,"[-0.89, -0.351]","<0.001"
"familyButterflyfish:cots_15_meanAbove_15",-0.553,0.138,"[-0.824, -0.283]","<0.001"
