model,term,estimate,std.error,conf.low,conf.high,statistic,p.value,p_formatted
m_benthos_hc,(Intercept),45.55449804117965,3.873641078115952,37.96230103903748,53.14669504332182,11.760123646596675,6.264249022919921e-32,<0.001
m_benthos_hc,cots_mean_ha_sc,-4.627301463826604,3.956422274580502,-12.381746629636426,3.1271437019832184,-1.1695671348218852,0.24217520962722133,0.242
m_benthos_mac,(Intercept),2.008749514735154,0.2596364363946475,1.4998714503273205,2.5176275791429874,7.736778175779048,1.0196773717711616e-14,<0.001
m_benthos_mac,cots_mean_ha_sc,0.6726525169701086,0.26278366008828213,0.15760600747146014,1.1876990264687572,2.5597197205645554,0.010475661157811076,0.010
m_benthos_tur,(Intercept),27.645939463383993,2.5887056184226336,22.572169684699144,32.71970924206884,10.679445073491744,1.270287150045391e-26,<0.001
m_benthos_tur,cots_mean_ha_sc,3.8594591039470756,2.6453542294393024,-1.325339912104662,9.044258119998814,1.458957390657322,0.14457683561557033,0.145
m_fish_abund,(Intercept),5.387721868060194,0.08514541980842119,5.220839911787146,5.554603824333243,63.27670801533037,0,<0.001
m_fish_abund,familyRabbitfish,0.1961501216710951,0.06726737562094647,0.06430848811951242,0.32799175522267776,2.915977022448542,0.00354576613037629,0.004
m_fish_abund,familyButterflyfish,0.18329964605896795,0.06778224957104217,0.05044887810861981,0.3161504140093161,2.7042425888632198,0.006846028901910161,0.007
m_fish_abund,cots_mean_ha_sc,0.26760605006738514,0.07609393079862153,0.11846468626000378,0.4167474138747665,3.5167857312508937,4.368062384381805e-4,<0.001
m_fish_abund,familyRabbitfish:cots_mean_ha_sc,-0.30898031911914775,0.066685209894444,-0.439680928813752,-0.1782797094245435,-4.633416009460458,3.5968072526839707e-6,<0.001
m_fish_abund,familyButterflyfish:cots_mean_ha_sc,-0.2957507690228978,0.06691459499709697,-0.42690096525729193,-0.16460057278850374,-4.419824539560147,9.8781071333267e-6,<0.001
m_feeding_pref,(Intercept),0.9394850074903153,0.10571868840283975,0.7322801857279371,1.1466898292526935,8.88665023832323,6.297887315374934e-19,<0.001
m_feeding_pref,substrateMAC,-2.992714449131868,0.22836059201487865,-3.440292984969275,-2.545135913294461,-13.10521409463188,3.0739357802427564e-39,<0.001
m_feeding_pref,substrateHC,-3.796462570959047,0.20751381278743872,-4.203182170317014,-3.38974297160108,-18.294987306931,9.0722249147859e-75,<0.001
m_feeding_pref,familyRabbitfish,0.41491660163836525,0.15149556196923689,0.11799075636100514,0.7118424469157254,2.738803673487276,0.006166318387259266,0.006
m_feeding_pref,familyButterflyfish,-1.2813193040590531,0.1538123092826366,-1.5827858906319565,-0.9798527174861498,-8.33040808004888,8.0564166256733e-17,<0.001
m_feeding_pref,avail_pct_sc,0.32315276994047876,0.1060777700283473,0.11524416112459573,0.5310613787563618,3.0463759735345324,0.0023161801313701593,0.002
m_feeding_pref,cots_mean_ha_sc,-0.06197320556967289,0.042710653209910174,-0.14568454761727687,0.021738136477931082,-1.4510011182711955,0.14677954881935112,0.147
m_feeding_pref,substrateMAC:familyRabbitfish,-0.24102967757468904,0.24451562244585026,-0.720271491225949,0.23821213607657096,-0.9857434676921994,0.3242590133339756,0.324
m_feeding_pref,substrateHC:familyRabbitfish,-0.4734671327854523,0.25272354846735623,-0.9687961858266332,0.021861920255728473,-1.8734587087621914,0.061005069498693144,0.061
m_feeding_pref,substrateMAC:familyButterflyfish,0.5332613462133862,0.2963014786112122,-0.047478880430554704,1.114001572857327,1.799725565707006,0.07190398219173995,0.072
m_feeding_pref,substrateHC:familyButterflyfish,3.779937030152403,0.243272972580575,3.303130765482476,4.25674329482233,15.53784207943791,1.9235201385039755e-54,<0.001
m_benthos_hc_15,(Intercept),49.16538234997486,5.567981712948424,38.252338726018316,60.07842597393141,8.830018646727957,1.0465827464556395e-18,<0.001
m_benthos_hc_15,cots_15_meanAbove_15,-7.798340148840296,7.966195344782651,-23.411796118424924,7.815115820744333,-0.9789290635394361,0.32761503062152636,0.328
m_benthos_mac_15,(Intercept),1.4347178759020125,0.35349623434952626,0.7418779879064105,2.1275577638976144,4.058651087308069,4.935699525927664e-5,<0.001
m_benthos_mac_15,cots_15_meanAbove_15,1.2689120429715863,0.525572505741711,0.23880886045336247,2.29901522548981,2.4143425105178244,0.015763636105690034,0.016
m_benthos_tur_15,(Intercept),24.037645907016266,3.5598812403578273,17.060406886675153,31.01488492735738,6.752372982139169,1.454463810920573e-11,<0.001
m_benthos_tur_15,cots_15_meanAbove_15,7.853034943545439,5.20282896768349,-2.3443224508359064,18.050392337926784,1.5093778773669602,0.13120224323591548,0.131
m_fish_abund_15,(Intercept),5.186485144561124,0.11226340810922585,4.96645290788532,5.406517381236928,46.19924899763396,0,<0.001
m_fish_abund_15,familyRabbitfish,0.4387503515377189,0.08807731103736453,0.26612199404935233,0.6113787090260855,4.981423097165061,6.311836754606642e-7,<0.001
m_fish_abund_15,familyButterflyfish,0.40059615752031763,0.0891926624783639,0.2257817513774874,0.5754105636631479,4.491357768555155,7.077055494424679e-6,<0.001
m_fish_abund_15,cots_15_meanAbove_15,0.5180046356650754,0.16319744070588474,0.19814352951243042,0.8378657418177203,3.1740977886940396,0.0015030304303585921,0.002
m_fish_abund_15,familyRabbitfish:cots_15_meanAbove_15,-0.6204742906146798,0.13735792707504754,-0.8896908806728521,-0.35125770055650757,-4.517207734764915,6.266042633573175e-6,<0.001
m_fish_abund_15,familyButterflyfish:cots_15_meanAbove_15,-0.5534063937264062,0.13815503414968694,-0.8241852849426938,-0.28262750251011864,-4.005691121807451,6.183641113356034e-5,<0.001
m_benthos_hc_no_al,(Intercept),48.03770081279132,2.5495300482293795,43.040713740759074,53.03468788482357,18.841786487730545,3.4318437293526817e-79,<0.001
m_benthos_hc_no_al,cots_mean_ha_sc,-8.107394406359296,2.6183317444001353,-13.239230324961493,-2.975558487757098,-3.096396941945458,0.0019588794141524833,0.002
m_benthos_mac_no_al,(Intercept),2.293505560535034,0.2944305910851328,1.716432206061334,2.870578915008734,7.789630663316099,6.72053513696292e-15,<0.001
m_benthos_mac_no_al,cots_mean_ha_sc,0.5619641233630861,0.29899567872771615,-0.024056638476346093,1.1479848852025183,1.8795058368547366,0.060175457291336436,0.060
m_benthos_tur_no_al,(Intercept),25.97306652064681,2.2284557951486668,21.605373421015855,30.340759620277765,11.655185881268096,2.159087599713372e-31,<0.001
m_benthos_tur_no_al,cots_mean_ha_sc,5.942796295755712,2.2630075581965587,1.5073829849485278,10.378209606562896,2.6260611787313954,0.008637929047262504,0.009
m_fish_abund_no_al,(Intercept),5.418483188709452,0.07495520681641787,5.2715736828955215,5.565392694523382,72.28961694389736,0,<0.001
m_fish_abund_no_al,familyRabbitfish,0.20653973913884177,0.06338057298809639,0.08231609876266069,0.3307633795150229,3.258723129209203,0.0011191483070596435,0.001
m_fish_abund_no_al,familyButterflyfish,0.29385581289737217,0.06337663610494368,0.16963988867038177,0.4180717371243626,4.636658411639018,3.5408684840794643e-6,<0.001
m_fish_abund_no_al,cots_mean_ha_sc,0.2997156298865296,0.0713689874509251,0.15983498486962538,0.43959627490343384,4.199521957525609,2.6747909221215583e-5,<0.001
m_fish_abund_no_al,familyRabbitfish:cots_mean_ha_sc,-0.3915442112798356,0.0632851925073389,-0.5155809093489039,-0.26750751321076727,-6.186979856850874,6.132779797979635e-10,<0.001
m_fish_abund_no_al,familyButterflyfish:cots_mean_ha_sc,-0.45285974398682205,0.0635306302660443,-0.5773774912233991,-0.32834199675024495,-7.1282111021156584,1.0168174809255506e-12,<0.001
m_feeding_pref_no_al,(Intercept),0.9353885157991255,0.11329624560990798,0.7133319548201018,1.1574450767781492,8.256129854644751,1.5047191544221122e-16,<0.001
m_feeding_pref_no_al,substrateMAC,-2.8473002085086874,0.24315574280490826,-3.323876707040392,-2.370723709976983,-11.709779812986644,1.1357417944924265e-31,<0.001
m_feeding_pref_no_al,substrateHC,-4.020107591100204,0.24119944826070472,-4.492849822782117,-3.5473653594182903,-16.667150858301298,2.2716758587590965e-62,<0.001
m_feeding_pref_no_al,familyRabbitfish,0.426850951644445,0.1623600172127708,0.10863116537811107,0.7450707379107788,2.629039827490669,0.008562633195264539,0.009
m_feeding_pref_no_al,familyButterflyfish,-1.1339611473937623,0.1657135222738772,-1.4587536828018375,-0.8091686119856871,-6.842900517916986,7.760554767324798e-12,<0.001
m_feeding_pref_no_al,avail_pct_sc,0.4754863993796332,0.12132607153245678,0.2376916687902877,0.7132811299689787,3.919078507808048,8.88881600943947e-5,<0.001
m_feeding_pref_no_al,cots_mean_ha_sc,-0.06335234742629939,0.04607274291821606,-0.15365326421497566,0.026948569362376884,-1.375050483509446,0.1691157941195406,0.169
m_feeding_pref_no_al,substrateMAC:familyRabbitfish,-0.2582324810793398,0.26379904498342815,-0.7752691084029204,0.25880414624424075,-0.978898468322969,0.327630149077372,0.328
m_feeding_pref_no_al,substrateHC:familyRabbitfish,-0.47134459417687286,0.2722065147944013,-1.0048595595310685,0.06217037117732288,-1.7315698506807649,0.08335017810460273,0.083
m_feeding_pref_no_al,substrateMAC:familyButterflyfish,0.1646605339358964,0.33839171174848837,-0.49857503375800005,0.8278961016297929,0.48659742014686613,0.6265436521635976,0.627
m_feeding_pref_no_al,substrateHC:familyButterflyfish,3.6021796420789127,0.26394466789586657,3.084857599091629,4.119501685066196,13.647480249534995,2.0898039788511334e-42,<0.001
