"Effect","Estimate","SE","CI","p_value"
"(Intercept)",3.15,0.108,"[2.94, 3.36]","<0.001"
"familyRabbitfish",-0.449,0.136,"[-0.716, -0.182]","<0.001"
"familyButterflyfish",-1.38,0.139,"[-1.65, -1.11]","<0.001"
"cots_15_meanAbove_15",-0.0509,0.154,"[-0.352, 0.25]","0.741"
"familyRabbitfish:cots_15_meanAbove_15",0.135,0.196,"[-0.249, 0.519]","0.491"
"familyButterflyfish:cots_15_meanAbove_15",0.142,0.195,"[-0.241, 0.525]","0.466"
