site,site_code,n_transects,mean_HC,mean_TUR,mean_MAC,mean_AB
Aow Leuk,AL,9,33.48649925254956,33.93852168468359,0.964644011917514,25.698729019752303
Green Rock,GR,8,37.58818731121894,27.589095011167956,3.1626692511049592,25.457671965837918
Red Rock,RR,6,48.87349921798384,32.4213070895043,3.3301360820675368,10.514394001297926
Shark Island,SI,7,63.616640884020676,19.065015169036347,1.6019423666019266,11.903974876459243
Tanote Bay,TB,7,51.203853685401974,17.592768323550175,1.8718740674657859,24.779739861931354
Twins,TW,5,37.71708262933419,37.05326850644252,1.2173595914710096,18.918698725657475
