family,n,mean_count,var_count,var_mean_ratio
Butterflyfish,109,28.52293577981651,282.6221542643561,9.90859273554674
Parrotfish,109,23.917431192660548,444.92830445124116,18.602679395928384
Rabbitfish,109,28.53211009174312,212.10312606184178,7.433839466476126
