obs_id,site_code,site,site_type,date,buddy,family,species,sci_name,bites_total,HC,MAC,TUR,cots_mean_ha_sc,bite_substrate,bites_sub,substrate,avail_pct,bites_other,avail_pct_sc
1,SI,Shark Island,Control,2025-09-24,A,Parrotfish,Surf,Scarus rivulatus,37,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,1,HC,63.616640884020676,36,2.000190832639366
1,SI,Shark Island,Control,2025-09-24,A,Parrotfish,Surf,Scarus rivulatus,37,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,1,MAC,1.6019423666019266,36,-1.2192505094382002
1,SI,Shark Island,Control,2025-09-24,A,Parrotfish,Surf,Scarus rivulatus,37,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,34,TUR,19.065015169036347,3,-0.31266965225518567
2,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Blue-barred,Scarus ghobban,53,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,0,HC,63.616640884020676,53,2.000190832639366
2,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Blue-barred,Scarus ghobban,53,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,53,-1.2192505094382002
2,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Blue-barred,Scarus ghobban,53,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,25,TUR,19.065015169036347,28,-0.31266965225518567
3,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Surf,Scarus rivulatus,73,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,2,HC,63.616640884020676,71,2.000190832639366
3,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Surf,Scarus rivulatus,73,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,73,-1.2192505094382002
3,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Surf,Scarus rivulatus,73,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,71,TUR,19.065015169036347,2,-0.31266965225518567
4,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Blue-barred,Scarus ghobban,111,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,6,HC,63.616640884020676,105,2.000190832639366
4,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Blue-barred,Scarus ghobban,111,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,111,-1.2192505094382002
4,SI,Shark Island,Control,2025-10-02,A,Parrotfish,Blue-barred,Scarus ghobban,111,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,88,TUR,19.065015169036347,23,-0.31266965225518567
5,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Blue-barred,Scarus ghobban,35,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,16,HC,63.616640884020676,19,2.000190832639366
5,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Blue-barred,Scarus ghobban,35,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,35,-1.2192505094382002
5,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Blue-barred,Scarus ghobban,35,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,16,TUR,19.065015169036347,19,-0.31266965225518567
6,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Blue-barred,Scarus ghobban,43,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,12,HC,63.616640884020676,31,2.000190832639366
6,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Blue-barred,Scarus ghobban,43,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,43,-1.2192505094382002
6,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Blue-barred,Scarus ghobban,43,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,31,TUR,19.065015169036347,12,-0.31266965225518567
7,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Surf,Scarus rivulatus,20,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,4,HC,63.616640884020676,16,2.000190832639366
7,SI,Shark Island,Control,2025-10-14,A,Parrotfish,Surf,Scarus rivulatus,20,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,20,-1.2192505094382002
