site_code,transect,cots_mean_ha,cots_mean_ha_sc,site_label,site_type,substrate,pct,al_label
SI,SI3,4.75,-0.9068302948617104,SI,Control,TUR,6.88,NA
SI,SI4,4.75,-0.9068302948617104,SI,Control,HC,57.856567284448026,NA
SI,SI4,4.75,-0.9068302948617104,SI,Control,MAC,0.40290088638195,NA
SI,SI4,4.75,-0.9068302948617104,SI,Control,TUR,12.97340854149879,NA
SI,SI5,4.75,-0.9068302948617104,SI,Control,HC,72.19983883964545,NA
SI,SI5,4.75,-0.9068302948617104,SI,Control,MAC,1.36986301369863,NA
SI,SI5,4.75,-0.9068302948617104,SI,Control,TUR,20.1450443190975,NA
SI,SI6,4.75,-0.9068302948617104,SI,Control,HC,81.28,NA
SI,SI6,4.75,-0.9068302948617104,SI,Control,MAC,1.92,NA
SI,SI6,4.75,-0.9068302948617104,SI,Control,TUR,15.04,NA
SI,SI7,4.75,-0.9068302948617104,SI,Control,HC,44.96,NA
SI,SI7,4.75,-0.9068302948617104,SI,Control,MAC,3.84,NA
SI,SI7,4.75,-0.9068302948617104,SI,Control,TUR,18.64,NA
TB,TB1,3.125,-1.027809785817965,TB,Control,HC,66.64,NA
TB,TB1,3.125,-1.027809785817965,TB,Control,MAC,0.16,NA
TB,TB1,3.125,-1.027809785817965,TB,Control,TUR,21.36,NA
TB,TB2,3.125,-1.027809785817965,TB,Control,HC,55.084067253803035,NA
TB,TB2,3.125,-1.027809785817965,TB,Control,MAC,1.3610888710968776,NA
TB,TB2,3.125,-1.027809785817965,TB,Control,TUR,30.34427542033627,NA
TB,TB3,3.125,-1.027809785817965,TB,Control,HC,55.2,NA
TB,TB3,3.125,-1.027809785817965,TB,Control,MAC,2.64,NA
TB,TB3,3.125,-1.027809785817965,TB,Control,TUR,17.44,NA
TB,TB4,3.125,-1.027809785817965,TB,Control,HC,46.036829463570854,NA
TB,TB4,3.125,-1.027809785817965,TB,Control,MAC,2.481985588470777,NA
TB,TB4,3.125,-1.027809785817965,TB,Control,TUR,21.617293835068057,NA
TB,TB5,3.125,-1.027809785817965,TB,Control,HC,51.64658634538153,NA
TB,TB5,3.125,-1.027809785817965,TB,Control,MAC,3.775100401606426,NA
TB,TB5,3.125,-1.027809785817965,TB,Control,TUR,11.887550200803211,NA
TB,TB6,3.125,-1.027809785817965,TB,Control,HC,35.50488599348534,NA
TB,TB6,3.125,-1.027809785817965,TB,Control,MAC,2.5244299674267103,NA
TB,TB6,3.125,-1.027809785817965,TB,Control,TUR,13.517915309446254,NA
TB,TB7,3.125,-1.027809785817965,TB,Control,HC,48.31460674157304,NA
TB,TB7,3.125,-1.027809785817965,TB,Control,MAC,0.16051364365971107,NA
TB,TB7,3.125,-1.027809785817965,TB,Control,TUR,6.982343499197431,NA
TW,TW1,26.81818181818182,0.736121952949799,TW,High Density,HC,51.24099279423538,NA
TW,TW1,26.81818181818182,0.736121952949799,TW,High Density,MAC,1.200960768614892,NA
TW,TW1,26.81818181818182,0.736121952949799,TW,High Density,TUR,27.381905524419537,NA
TW,TW2,26.81818181818182,0.736121952949799,TW,High Density,HC,31.91659983961508,NA
TW,TW2,26.81818181818182,0.736121952949799,TW,High Density,MAC,2.0048115477145148,NA
TW,TW2,26.81818181818182,0.736121952949799,TW,High Density,TUR,40.577385725741784,NA
TW,TW3,26.81818181818182,0.736121952949799,TW,High Density,HC,36.559999999999995,NA
TW,TW3,26.81818181818182,0.736121952949799,TW,High Density,MAC,0.96,NA
TW,TW3,26.81818181818182,0.736121952949799,TW,High Density,TUR,44.4,NA
TW,TW4,26.81818181818182,0.736121952949799,TW,High Density,HC,26.479999999999997,NA
TW,TW4,26.81818181818182,0.736121952949799,TW,High Density,MAC,1.28,NA
TW,TW4,26.81818181818182,0.736121952949799,TW,High Density,TUR,56.00000000000001,NA
TW,TW5,26.81818181818182,0.736121952949799,TW,High Density,HC,42.38782051282051,NA
TW,TW5,26.81818181818182,0.736121952949799,TW,High Density,MAC,0.641025641025641,NA
TW,TW5,26.81818181818182,0.736121952949799,TW,High Density,TUR,16.907051282051285,NA
