Site,CoTS density,Max CoTS,Hard coral,Turf algae,Macroalgae
GR,35.44,70,37.59,27.59,3.16
RR,29.22,55,48.87,32.42,3.33
TW,26.82,75,37.72,37.05,1.22
AL,7,15,33.49,33.94,0.96
SI,4.75,20,63.62,19.07,1.6
TB,3.12,5,51.2,17.59,1.87
